"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","Thu May 28 07:52:03 UTC 2026","passed","Thu May 28 07:52:03 UTC 2026","TestOperationsGRPC","test_operations","",""
"","22","[gRPC] Get account details. User with active debit card account","tests.suites.grpc","Thu May 28 07:52:01 UTC 2026","passed","Thu May 28 07:52:01 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","67","[HTTP] Get user details. User with active credit card account","tests.suites.http","Thu May 28 07:52:03 UTC 2026","passed","Thu May 28 07:52:03 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","515","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","Thu May 28 07:52:02 UTC 2026","passed","Thu May 28 07:52:03 UTC 2026","TestOperationsGRPC","test_operations","",""
"","555","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Thu May 28 07:52:03 UTC 2026","passed","Thu May 28 07:52:03 UTC 2026","TestOperationsHTTP","test_operations","",""
"","29","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","Thu May 28 07:52:03 UTC 2026","passed","Thu May 28 07:52:03 UTC 2026","TestOperationsGRPC","test_operations","",""
"","58","[HTTP] Get account details. User with active debit card account","tests.suites.http","Thu May 28 07:52:03 UTC 2026","passed","Thu May 28 07:52:03 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","51","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Thu May 28 07:52:03 UTC 2026","passed","Thu May 28 07:52:03 UTC 2026","TestOperationsHTTP","test_operations","",""
"","556","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","Thu May 28 07:52:01 UTC 2026","passed","Thu May 28 07:52:02 UTC 2026","TestOperationsGRPC","test_operations","",""
"","22","[gRPC] Get user details. User with active credit card account","tests.suites.grpc","Thu May 28 07:52:01 UTC 2026","passed","Thu May 28 07:52:01 UTC 2026","TestGatewayGRPC","test_gateway","",""
